,date,open,high,low,close,sma_20,upper_bb,lower_bb,bb_signal,,
0,03-01-83,140.65,141.33,138.2,138.34,,,,0,0,8803
1,04-01-83,138.33,141.36,138.08,141.36,,,,0,1,433
2,05-01-83,141.35,142.6,141.15,141.96,,,,0,-1,461
3,06-01-83,142.01,145.77,142.01,145.27,,,,0,,
4,07-01-83,145.27,146.46,145.15,145.18,,,,0,,
5,10-01-83,145.19,147.25,144.58,146.78,,,,0,,
6,11-01-83,146.79,146.83,145.38,145.78,,,,0,,
7,12-01-83,145.76,148.36,145.76,146.69,,,,0,,
8,13-01-83,146.67,146.94,145.67,145.73,,,,0,,
9,14-01-83,145.72,147.12,145.72,146.65,,,,0,,
10,17-01-83,146.65,147.9,146.64,146.72,,,,0,,
11,18-01-83,146.71,146.74,145.52,146.4,,,,0,,
12,19-01-83,146.4,146.45,144.51,145.27,,,,0,,
13,20-01-83,145.29,146.62,145.29,146.29,,,,0,,
14,21-01-83,146.3,146.3,143.25,143.85,,,,0,,
15,24-01-83,143.84,143.84,139.1,139.97,,,,0,,
16,25-01-83,139.98,141.75,139.98,141.75,,,,0,,
17,26-01-83,141.77,142.16,141.16,141.54,,,,0,,
18,27-01-83,141.54,144.3,141.54,144.27,,,,0,,
19,28-01-83,144.31,145.47,144.25,144.51,144.2155,149.265096,139.165904,0,,
20,31-01-83,144.51,145.3,143.93,145.3,144.5635,148.8024188,140.3245812,0,,
21,01-02-83,145.29,145.29,142.96,142.96,144.6435,148.6835848,140.6034152,0,,
22,02-02-83,142.95,143.52,141.9,143.23,144.707,148.606987,140.807013,0,,
23,03-02-83,143.25,144.43,143.25,144.26,144.6565,148.5519455,140.7610545,0,,
24,04-02-83,144.26,146.14,144.14,146.14,144.7045,148.6504372,140.7585628,0,,
25,07-02-83,146.14,147.42,146.14,146.93,144.712,148.6750801,140.7489199,0,,
26,08-02-83,146.93,147.21,145.52,145.7,144.708,148.6667005,140.7492995,0,,
27,09-02-83,145.7,145.83,144.09,145,144.6235,148.4747569,140.7722431,0,,
28,10-02-83,145.04,147.75,145.04,147.5,144.712,148.7472687,140.6767313,0,,
29,11-02-83,147.51,148.81,147.18,147.65,144.762,148.921254,140.602746,0,,
30,14-02-83,147.71,149.14,147.4,148.93,144.8725,149.3555998,140.3894002,0,,
31,15-02-83,148.94,149.41,148.13,148.3,144.9675,149.6624105,140.2725895,0,,
32,16-02-83,148.31,148.66,147.41,147.43,145.0755,149.8973689,140.2536311,0,,
33,17-02-83,147.43,147.57,143.84,147.44,145.133,150.04248,140.22352,0,,
34,18-02-83,147.44,148.29,147.21,148,145.3405,150.3709692,140.3100308,0,,
35,22-02-83,148.01,148.11,145.42,145.48,145.616,149.9654919,141.2665081,0,,
36,23-02-83,145.47,146.79,145.4,146.79,145.868,149.8422095,141.8937905,0,,
37,24-02-83,146.8,149.67,146.8,149.6,146.271,150.0258896,142.5161104,0,,
38,25-02-83,149.6,150.88,149.6,149.74,146.5445,150.4782967,142.6107033,0,,
39,28-02-83,149.74,149.74,147.81,148.06,146.722,150.589068,142.854932,0,,
40,01-03-83,148.07,150.88,148.07,150.88,147.001,151.2248067,142.7771933,0,,
41,02-03-83,150.91,152.63,150.91,152.3,147.468,151.8720775,143.0639225,-1,,
42,03-03-83,152.31,154.16,152.31,153.48,147.9805,152.6834866,143.2775134,-1,,
43,04-03-83,153.47,153.67,152.53,153.67,148.451,153.4596616,143.4423384,-1,,
44,07-03-83,153.67,154,152.65,153.67,148.8275,154.2219216,143.4330784,0,,
45,08-03-83,153.63,153.63,151.26,151.26,149.044,154.4652657,143.6227343,0,,
46,09-03-83,151.25,152.87,150.84,152.87,149.4025,154.840932,143.964068,0,,
47,10-03-83,152.87,154.01,151.75,151.8,149.7425,154.862997,144.622003,0,,
48,11-03-83,151.75,151.75,150.65,151.24,149.9295,154.9778326,144.8811674,0,,
49,14-03-83,151.28,151.3,150.24,150.83,150.0885,155.033802,145.143198,0,,
50,15-03-83,150.83,151.37,150.4,151.37,150.2105,155.1558539,145.2651461,0,,
51,16-03-83,151.36,151.62,149.78,149.81,150.286,155.1540458,145.4179542,0,,
52,17-03-83,149.8,149.8,149.12,149.59,150.394,155.087989,145.700011,0,,
53,18-03-83,149.59,150.29,149.56,149.9,150.517,155.0096752,146.0243248,0,,
54,21-03-83,149.82,151.2,149.32,151.19,150.6765,155.0168482,146.3361518,0,,
55,22-03-83,151.21,151.59,150.6,150.66,150.9355,154.5231541,147.3478459,0,,
56,23-03-83,150.65,152.98,150.65,152.81,151.2365,154.3367565,148.1362435,0,,
57,24-03-83,152.82,153.78,152.82,153.37,151.425,154.5644971,148.2855029,0,,
58,25-03-83,153.37,153.71,152.3,152.67,151.5715,154.6528413,148.4901587,0,,
59,28-03-83,152.67,152.67,151.56,151.85,151.761,154.361744,149.160256,0,,
60,29-03-83,151.85,152.46,151.42,151.59,151.7965,154.3658028,149.2271972,0,,
61,30-03-83,151.6,153.39,151.6,153.39,151.851,154.5099503,149.1920497,0,,
62,31-03-83,153.41,155.02,152.86,152.96,151.825,154.4264288,149.2235712,0,,
63,04-04-83,152.92,153.02,152.23,153.02,151.7925,154.3118222,149.2731778,0,,
64,05-04-83,153.04,153.92,151.81,151.9,151.704,154.0650025,149.3429975,0,,
65,06-04-83,151.9,151.9,150.17,151.04,151.693,154.064738,149.321262,0,,
66,07-04-83,151.04,151.76,150.81,151.76,151.6375,153.9443308,149.3306692,0,,
67,08-04-83,151.77,152.85,151.39,152.85,151.69,154.0593481,149.3206519,0,,
68,11-04-83,152.87,155.14,152.87,155.14,151.885,154.6986921,149.0713079,-1,,
69,12-04-83,155.15,155.82,154.78,155.82,152.1345,155.4025686,148.8664314,-1,,
70,13-04-83,155.82,157.22,155.82,156.77,152.4045,156.2482015,148.5607985,-1,,
